site,rbt_id,cleaner_did,cl_pcb_model,tc_did,tc_pcb_model,breakdown_status,running_status,work_status
Tingri,RBT 1,0013A200421A1C9E,New,0013A2004212C189,New,,,
Tingri,RBT 2,0013A200421BC122,New,0013A200421A251D,New,,,
Tingri,RBT 3,0013A200421B7C5A,New,0013A200421BAB30,New,,,
Tingri,RBT 4,0013A2004212BEEA,New,,Old,,,
Tingri,RBT 5,0013A200421BB587,New,0013A20041B4FA8B,Old,,,
Tingri,RBT 6,0013A20041F4237C,Old,0013A20041B4F6A2,Old,,,
Tingri,RBT 7,0013A200421BB3ED,New,0013A200421AC562,New,,,
Tingri,RBT 8,0013A200421BB333,New,0013A20041B4E674,Old,,,
Tingri,RBT 9,0013A200421BAB98,New,0013A20041B4F70B,Old,,,
Tingri,RBT 11,0013A20041A0B4E2,Old,0013A20041B4F6AE,Old,,,
Tingri,RBT 12,0013A200421BAB4E,New,,Old,,,
Tingri,RBT 13,0013A200420BB98F,Old,,Old,,,
Tingri,RBT 14,0013A200421BB1C2,New,0013A20041B4F555,Old,,,
Tingri,RBT 15,0013A2004212BED7,New,0013A20041B4FEE5,Old,,,
Tingri,RBT 16,0013A200421BB222,New,,Old,,,
Varul,RBT 1,0013A20041BFD001,New,0013A20041AF0001,,,,
Varul,RBT 2,0013A20041BFD002,Old,0013A20041AF0002,,,,
Varul,RBT 3,0013A20041BFD003,New,0013A20041AF0003,,,,
Varul,RBT 4,0013A20041BFD004,Old,0013A20041AF0004,,,,
Varul,RBT 5,0013A20041BFD005,New,0013A20041AF0005,,,,
Varul,RBT 6,0013A20041BFD006,Old,0013A20041AF0006,,,,
Varul,RBT 7,0013A20041BFD007,New,0013A20041AF0007,,,,
Varul,RBT 8,0013A20041BFD008,Old,0013A20041AF0008,,,,
Varul,RBT 9,0013A20041BFD009,New,0013A20041AF0009,,,,
Varul,RBT 10,0013A20041BFD010,Old,0013A20041AF0010,,,,
Varul,RBT 11,0013A20041BFD011,New,0013A20041AF0011,,,,
Varul,RBT 12,0013A20041BFD012,Old,0013A20041AF0012,,,,
Varul,RBT 13,0013A20041BFD013,New,0013A20041AF0013,,,,
Varul,RBT 14,0013A20041BFD014,Old,0013A20041AF0014,,,,
Vehelgaon,RBT 1,0013A200421BB5F3,New,0013A200421BACAB,New,,,
Vehelgaon,RBT 2,0013A200421BAD8D,New,0013A200421AC53A,New,,,
Vehelgaon,RBT 3,0013A200421AAE07,New,0013A200421A24AB,New,,,
Vehelgaon,RBT 4,0013A200421A1CE6,New,0013A200421A244D,New,,,
Vehelgaon,RBT 5,0013A200421AC5D1,New,0013A2004212C1F7,New,,,
